IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.128.204,4,4,0.00,138.49,34.77
104.18.160.30,4,4,0.00,134.02,34.69
172.64.169.39,4,4,0.00,138.76,33.43
104.16.81.133,4,4,0.00,137.67,33.36
104.18.89.241,4,4,0.00,138.34,32.25
104.17.203.50,4,4,0.00,138.89,32.03
172.64.231.165,4,4,0.00,135.92,29.16
162.159.14.80,4,4,0.00,138.18,28.94
104.18.217.80,4,4,0.00,138.66,28.36
104.18.204.3,4,4,0.00,139.37,28.25
104.17.147.180,4,4,0.00,138.65,26.61
104.19.106.53,4,4,0.00,138.34,26.03
172.64.103.141,4,4,0.00,137.86,25.41
104.17.35.3,4,4,0.00,134.61,24.83
104.16.232.109,4,4,0.00,135.04,23.74
104.19.30.208,4,4,0.00,138.09,14.91
104.16.94.64,4,4,0.00,134.77,14.36
104.19.1.199,4,4,0.00,135.40,7.22
104.18.134.248,4,4,0.00,138.05,6.56
104.16.228.254,4,4,0.00,138.35,5.65
